"Class Name - Live Allocated Objects";"Live Bytes";"Live Objects";"Allocated Objects";"Avg. Age";"Generations"
"sun.security.util.MemoryCache$SoftCacheEntry";"48";"1";"1";"185.00";"1"
"java.util.Vector";"48";"2";"9";"173.50";"2"
"org.apache.log4j.Hierarchy";"48";"1";"1";"214.00";"1"
"java.util.concurrent.ConcurrentHashMap";"48";"1";"1";"213.00";"1"
"java.util.Hashtable";"48";"1";"7";"208.00";"1"
"org.apache.commons.logging.impl.LogFactoryImpl";"48";"1";"1";"212.00";"1"
"float[]";"48";"1";"1108797";"208.00";"1"
"org.apache.fontbox.cmap.CIDRange";"48";"3";"3";"207.00";"1"
"org.apache.tika.mime.MediaType";"48";"2";"827";"213.50";"2"
"java.util.concurrent.ConcurrentSkipListMap";"48";"1";"1";"209.00";"1"
"java.math.RoundingMode[]";"48";"1";"1";"213.00";"1"
"java.lang.Boolean[]";"40";"1";"1";"214.00";"1"
"java.util.IdentityHashMap";"40";"1";"1";"185.00";"1"
"sun.text.resources.FormatData_de_DE";"40";"1";"1";"213.00";"1"
"sun.text.resources.FormatData_de";"40";"1";"1";"213.00";"1"
"sun.text.resources.FormatData";"40";"1";"1";"213.00";"1"
"sun.util.resources.CalendarData";"40";"1";"1";"213.00";"1"
"sun.security.pkcs11.Session";"40";"1";"1";"185.00";"1"
"sun.util.resources.CurrencyNames_de_DE";"40";"1";"1";"213.00";"1"
"sun.util.locale.LocaleObjectCache$CacheEntry";"40";"1";"1";"213.00";"1"
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync";"40";"1";"1";"214.00";"1"
"sun.awt.resources.awt";"40";"1";"1";"208.00";"1"
"com.sun.org.apache.xerces.internal.util.Status[]";"40";"1";"1";"214.00";"1"
"sun.util.resources.CurrencyNames";"40";"1";"1";"213.00";"1"
"sun.util.resources.CalendarData_en";"40";"1";"1";"208.00";"1"
"java.text.DigitList";"40";"1";"1";"213.00";"1"
"java.text.DateFormat[]";"40";"1";"1";"213.00";"1"
"sun.util.resources.CalendarData_de";"40";"1";"1";"213.00";"1"
"java.util.ResourceBundle$BundleReference";"40";"1";"1";"213.00";"1"
"org.apache.log4j.spi.RootLogger";"40";"1";"1";"214.00";"1"
"sun.text.resources.FormatData_en_US";"40";"1";"1";"213.00";"1"
"org.apache.log4j.Logger";"40";"1";"1";"214.00";"1"
"sun.util.resources.CurrencyNames_de";"40";"1";"1";"213.00";"1"
"sun.security.pkcs11.SessionRef";"40";"1";"1";"185.00";"1"
"java.lang.Class[]";"40";"2";"73";"212.50";"2"
"java.util.logging.LogManager$LoggerWeakRef";"40";"1";"1";"208.00";"1"
"sun.text.resources.FormatData_en";"40";"1";"1";"213.00";"1"
"com.sun.org.apache.xerces.internal.impl.XMLEntityScanner$1";"32";"1";"1";"214.00";"1"
"de.unibi.cebitec.bibiserv.search.TestMode[]";"32";"1";"1";"214.00";"1"
"java.util.Collections$UnmodifiableSortedMap";"32";"1";"1";"214.00";"1"
"sun.security.x509.AuthorityKeyIdentifierExtension";"32";"1";"1";"185.00";"1"
"org.ccil.cowan.tagsoup.HTMLSchema";"32";"1";"1";"213.00";"1"
"java.lang.reflect.Constructor[]";"32";"2";"2";"173.50";"2"
"sun.security.x509.BasicConstraintsExtension";"32";"1";"1";"185.00";"1"
"java.text.DontCareFieldPosition";"32";"1";"1";"208.00";"1"
"java.util.zip.ZipCoder";"32";"1";"1";"214.00";"1"
"org.apache.tika.parser.iwork.IWorkPackageParser$IWORKDocumentType";"32";"1";"1";"213.00";"1"
"java.awt.Color";"32";"1";"1";"208.00";"1"
"javax.crypto.CryptoAllPermission";"32";"1";"1";"185.00";"1"
"org.apache.fontbox.cff.charset.CFFCharset$Entry";"32";"2";"1401";"196.00";"1"
"java.lang.ClassLoader$NativeLibrary";"32";"1";"1";"209.00";"1"
"sun.util.logging.PlatformLogger$JavaLogger";"32";"1";"1";"208.00";"1"
"org.apache.commons.logging.impl.WeakHashtable$WeakKey";"32";"1";"1";"212.00";"1"
"sun.security.pkcs11.TemplateManager$TemplateKey";"32";"1";"68";"185.00";"1"
"java.util.regex.Pattern$Curly";"32";"1";"77903";"214.00";"1"
"org.apache.tika.metadata.Property$PropertyType[]";"32";"1";"1";"213.00";"1"
"javax.crypto.CryptoPermission";"32";"1";"128";"185.00";"1"
"java.io.ObjectStreamField";"32";"1";"1";"214.00";"1"
"sun.security.validator.SimpleValidator";"32";"1";"1";"185.00";"1"
"java.util.Collections$SynchronizedMap";"32";"1";"1";"208.00";"1"
"java.util.jar.Attributes$Name";"32";"2";"5";"211.50";"2"
"java.util.jar.Attributes";"32";"2";"8";"211.50";"2"
"org.apache.tika.metadata.Property";"32";"1";"1";"213.00";"1"
"java.util.concurrent.ConcurrentHashMap$Segment";"32";"1";"1";"214.00";"1"
"java.security.ProtectionDomain";"32";"1";"1";"214.00";"1"
"sun.util.locale.BaseLocale";"32";"1";"1";"208.00";"1"
"org.ccil.cowan.tagsoup.AttributesImpl";"32";"2";"2";"213.00";"1"
"java.lang.ThreadLocal$ThreadLocalMap";"24";"1";"1";"213.00";"1"
"de.unibi.cebitec.bibiserv.search.ProfilingMode[]";"24";"1";"1";"214.00";"1"
"org.apache.tika.parser.iwork.IWorkPackageParser$IWORKDocumentType[]";"24";"1";"1";"213.00";"1"
"de.unibi.cebitec.bibiserv.search.suffixtree.CharacterTypes[]";"24";"1";"1";"24.00";"1"
"sun.security.x509.SubjectKeyIdentifierExtension";"24";"1";"1";"185.00";"1"
"sun.security.util.DerInputBuffer";"24";"1";"7";"185.00";"1"
"java.lang.RuntimePermission";"24";"1";"1";"214.00";"1"
"java.util.logging.LogManager$LogNode";"24";"1";"1";"208.00";"1"
"java.util.regex.Pattern$Branch";"24";"1";"1";"214.00";"1"
"java.util.regex.Pattern$7";"24";"1";"1";"214.00";"1"
"java.util.regex.Pattern$5";"24";"1";"1";"214.00";"1"
"char[][]";"24";"1";"1";"207.00";"1"
"org.apache.tika.parser.microsoft.OfficeParser$POIFSDocumentType";"24";"1";"1";"213.00";"1"
"java.security.SecurityPermission";"24";"1";"1";"185.00";"1"
"sun.util.LocaleServiceProviderPool";"24";"1";"1";"213.00";"1"
"java.util.concurrent.ConcurrentSkipListMap$HeadIndex";"24";"1";"6";"209.00";"1"
"java.security.Permissions";"24";"1";"1";"214.00";"1"
"java.util.regex.Pattern$Node[]";"24";"1";"1";"214.00";"1"
"java.io.ObjectStreamField[]";"24";"1";"1";"214.00";"1"
"java.util.concurrent.ConcurrentSkipListMap$Node";"24";"1";"321";"209.00";"1"
"java.util.RegularEnumSet";"24";"1";"1";"185.00";"1"
"java.security.CodeSigner";"24";"1";"1";"209.00";"1"
"java.security.BasicPermissionCollection";"24";"1";"1";"214.00";"1"
"java.util.Random";"24";"1";"1";"209.00";"1"
"org.apache.pdfbox.util.PDFOperator";"24";"1";"1";"208.00";"1"
"java.security.AccessControlContext";"24";"1";"1";"0.00";"1"
"java.util.ArrayDeque";"24";"1";"1";"214.00";"1"
"org.apache.tika.sax.xpath.NamedElementMatcher";"24";"1";"1";"213.00";"1"
"com.sun.org.apache.xerces.internal.util.Status";"24";"1";"1";"214.00";"1"
"sun.security.x509.CertificateExtensions";"24";"1";"1";"185.00";"1"
"java.util.concurrent.locks.ReentrantReadWriteLock";"24";"1";"1";"214.00";"1"
"org.apache.log4j.ProvisionNode";"24";"1";"1";"214.00";"1"
"java.net.NetPermission";"24";"1";"1";"185.00";"1"
"java.util.Locale";"24";"1";"1";"208.00";"1"
"java.net.InetAddress$CacheEntry";"24";"1";"1";"185.00";"1"
"java.util.Collections$SynchronizedSortedSet";"24";"1";"1";"185.00";"1"
"java.math.RoundingMode";"24";"1";"1";"213.00";"1"
"org.apache.log4j.Level";"24";"1";"1";"214.00";"1"
"java.util.Collections$UnmodifiableMap";"24";"1";"3";"207.00";"1"
"java.util.regex.Pattern$GroupTail";"24";"1";"1";"214.00";"1"
"java.util.Currency";"24";"1";"1";"213.00";"1"
"java.util.Date";"24";"1";"2";"213.00";"1"
"javax.crypto.spec.RC5ParameterSpec";"24";"1";"1";"185.00";"1"
"javax.xml.namespace.QName";"24";"1";"1";"213.00";"1"
"java.lang.ref.ReferenceQueue";"24";"1";"1";"214.00";"1"
"de.unibi.cebitec.bibiserv.search.ProfilingMode";"24";"1";"1";"214.00";"1"
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock";"16";"1";"1";"214.00";"1"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter";"16";"1";"1";"214.00";"1"
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock";"16";"1";"1";"214.00";"1"
"java.util.concurrent.atomic.AtomicLong";"16";"1";"1";"213.00";"1"
"java.util.concurrent.CopyOnWriteArrayList";"16";"1";"1";"208.00";"1"
"java.util.concurrent.ConcurrentSkipListSet";"16";"1";"1";"209.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_2022$CharsetRecog_2022KR";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_2022$CharsetRecog_2022JP";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_2022$CharsetRecog_2022CN";"16";"1";"1";"111.00";"1"
"sun.security.provider.certpath.X509CertPath";"16";"1";"1";"209.00";"1"
"java.util.TreeMap$EntrySet";"16";"1";"1";"214.00";"1"
"org.apache.pdfbox.pdmodel.encryption.SecurityHandlersManager";"16";"1";"1";"209.00";"1"
"sun.security.x509.CertificateX509Key";"16";"1";"1";"185.00";"1"
"sun.net.www.protocol.http.Handler";"16";"1";"1";"185.00";"1"
"sun.security.x509.CertificateValidity";"16";"1";"1";"185.00";"1"
"org.apache.pdfbox.pdmodel.common.PDRectangle";"16";"1";"2782";"208.00";"1"
"sun.security.x509.CertificateSubjectName";"16";"1";"1";"185.00";"1"
"sun.security.x509.CertificateSerialNumber";"16";"1";"1";"185.00";"1"
"sun.net.ProgressMonitor";"16";"1";"1";"214.00";"1"
"sun.security.x509.CertificateIssuerName";"16";"1";"1";"185.00";"1"
"sun.security.x509.CertificateAlgorithmId";"16";"1";"1";"185.00";"1"
"java.util.LinkedHashSet";"16";"1";"1";"213.00";"1"
"sun.security.pkcs11.TemplateManager$Template";"16";"1";"1";"185.00";"1"
"java.util.IdentityHashMap$KeySet";"16";"1";"1";"0.00";"1"
"java.util.HashMap$Values";"16";"1";"6";"213.00";"1"
"sun.security.pkcs11.P11RSAKeyFactory";"16";"1";"1";"185.00";"1"
"java.util.Collections$UnmodifiableSet";"16";"1";"1";"213.00";"1"
"java.util.Collections$UnmodifiableRandomAccessList";"16";"1";"1";"209.00";"1"
"sun.launcher.LauncherHelper[]";"16";"1";"1";"214.00";"1"
"sun.launcher.LauncherHelper";"16";"1";"1";"214.00";"1"
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet";"16";"1";"3";"214.00";"1"
"java.util.Collections$SingletonSet";"16";"1";"4";"213.00";"1"
"org.xml.sax.helpers.AttributesImpl";"16";"1";"2126";"213.00";"1"
"sun.security.pkcs11.P11DSAKeyFactory";"16";"1";"1";"185.00";"1"
"java.text.FieldPosition[]";"16";"1";"1";"213.00";"1"
"java.text.DontCareFieldPosition$1";"16";"1";"1";"208.00";"1"
"java.text.DateFormat$Field";"16";"1";"1";"213.00";"1"
"org.apache.pdfbox.encoding.WinAnsiEncoding";"16";"1";"1";"207.00";"1"
"org.apache.pdfbox.encoding.StandardEncoding";"16";"1";"1";"196.00";"1"
"org.apache.pdfbox.encoding.MacRomanEncoding";"16";"1";"1";"196.00";"1"
"sun.security.validator.EndEntityChecker";"16";"1";"1";"185.00";"1"
"org.apache.pdfbox.cos.COSNull";"16";"1";"1";"142.00";"1"
"java.security.ProtectionDomain$Key";"16";"1";"1";"214.00";"1"
"java.security.Principal[]";"16";"1";"1";"214.00";"1"
"java.security.CryptoPrimitive";"16";"1";"1";"185.00";"1"
"sun.util.CoreResourceBundleControl";"16";"1";"1";"208.00";"1"
"java.security.AllPermissionCollection";"16";"1";"1";"185.00";"1"
"java.security.AllPermission";"16";"1";"1";"185.00";"1"
"org.apache.pdfbox.cos.COSBoolean";"16";"1";"1";"212.00";"1"
"org.apache.log4j.spi.DefaultRepositorySelector";"16";"1";"1";"214.00";"1"
"org.apache.log4j.or.RendererMap";"16";"1";"1";"214.00";"1"
"java.net.InetAddress[]";"16";"1";"1";"185.00";"1"
"org.apache.log4j.CategoryKey";"16";"1";"2";"214.00";"1"
"java.lang.ThreadLocal";"16";"1";"1";"214.00";"1"
"org.apache.tika.sax.xpath.XPathParser";"16";"1";"1";"213.00";"1"
"org.apache.fontbox.cff.encoding.CFFStandardEncoding";"16";"1";"1";"207.00";"1"
"org.apache.fontbox.cff.encoding.CFFExpertEncoding";"16";"1";"1";"109.00";"1"
"java.lang.Long";"16";"1";"67";"185.00";"1"
"java.lang.Integer[]";"16";"1";"1";"208.00";"1"
"java.lang.Enum[]";"16";"1";"1";"185.00";"1"
"org.apache.fontbox.cff.charset.CFFISOAdobeCharset";"16";"1";"1";"196.00";"1"
"org.apache.tika.sax.xpath.SubtreeMatcher";"16";"1";"1";"213.00";"1"
"org.apache.tika.metadata.Property$ValueType";"16";"1";"1";"213.00";"1"
"org.apache.tika.metadata.Property$PropertyType";"16";"1";"1";"213.00";"1"
"org.apache.tika.sax.xpath.CompositeMatcher";"16";"1";"1";"213.00";"1"
"org.apache.tika.sax.xpath.ChildMatcher";"16";"1";"1";"213.00";"1"
"java.io.FilePermissionCollection";"16";"1";"1";"214.00";"1"
"sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraints";"16";"1";"1";"185.00";"1"
"org.apache.fontbox.cff.CFFOperator";"16";"1";"1";"207.00";"1"
"sun.security.util.DisabledAlgorithmConstraints";"16";"1";"1";"185.00";"1"
"org.apache.fontbox.afm.Ligature";"16";"1";"1";"208.00";"1"
"org.apache.commons.logging.impl.Log4JLogger";"16";"1";"1";"212.00";"1"
"de.unibi.cebitec.bibiserv.search.util.Index";"16";"1";"1";"214.00";"1"
"org.apache.tika.sax.ElementMappingContentHandler$TargetElement";"16";"1";"1";"213.00";"1"
"de.unibi.cebitec.bibiserv.search.suffixtree.CharacterTypes";"16";"1";"1";"24.00";"1"
"sun.security.x509.SerialNumber";"16";"1";"1";"185.00";"1"
"de.unibi.cebitec.bibiserv.search.index.DocumentID";"16";"1";"1";"24.00";"1"
"de.unibi.cebitec.bibiserv.search.index.BiBiServDocument";"16";"1";"1";"24.00";"1"
"de.unibi.cebitec.bibiserv.search.TestMode";"16";"1";"1";"214.00";"1"
"sun.util.logging.PlatformLogger";"16";"1";"1";"208.00";"1"
"javax.security.auth.x500.X500Principal";"16";"1";"1";"185.00";"1"
"javax.crypto.spec.RC2ParameterSpec";"16";"1";"1";"185.00";"1"
"sun.security.x509.KeyIdentifier";"16";"1";"1";"185.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_windows_1256";"16";"1";"1";"111.00";"1"
"javax.crypto.JceSecurityManager";"16";"1";"1";"185.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_windows_1251";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_KOI8_R";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_IBM866_ru";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_IBM424_he_rtl";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_IBM424_he_ltr";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_IBM420_ar_rtl";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_IBM420_ar_ltr";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_nl";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_it";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_fr";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_es";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_en";"16";"1";"1";"111.00";"1"
"com.sun.org.apache.xerces.internal.util.PropertyState";"16";"1";"49";"214.00";"1"
"javax.crypto.CryptoPermissionCollection";"16";"1";"1";"185.00";"1"
"com.sun.org.apache.xerces.internal.util.FeatureState";"16";"1";"53";"214.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_EBCDIC_500_de";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_9_tr";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_8_he";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_8_I_he";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_7_el";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_6_ar";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_5_ru";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_2_ro";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_2_pl";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_2_hu";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_2_cs";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_sv";"16";"1";"1";"111.00";"1"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.ListDatatypeValidator";"16";"1";"1";"214.00";"1"
"java.util.regex.Pattern$Start";"16";"1";"84706";"214.00";"1"
"java.util.regex.Pattern$SliceI";"16";"1";"1";"214.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_pt";"16";"1";"1";"111.00";"1"
"java.util.regex.Pattern$Single";"16";"1";"4";"214.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_no";"16";"1";"1";"111.00";"1"
"java.util.regex.Pattern$GroupHead";"16";"1";"1";"214.00";"1"
"java.util.regex.Pattern$Dot";"16";"1";"1";"213.00";"1"
"java.util.regex.Pattern$Dollar";"16";"1";"1";"214.00";"1"
"java.util.regex.Pattern$Ctype";"16";"1";"77792";"214.00";"1"
"java.util.regex.Pattern$CharProperty$1";"16";"1";"1";"214.00";"1"
"java.util.regex.Pattern$BranchConn";"16";"1";"1";"214.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_nl";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_it";"16";"1";"1";"111.00";"1"
"java.util.regex.Pattern$BitClass";"16";"1";"2";"214.00";"1"
"java.util.regex.Pattern$All";"16";"1";"1";"214.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_fr";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_es";"16";"1";"1";"111.00";"1"
"com.sun.org.apache.xerces.internal.impl.Constants$ArrayEnumeration";"16";"1";"1";"214.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_en";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_de";"16";"1";"1";"111.00";"1"
"java.util.jar.Manifest";"16";"1";"1";"214.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_da";"16";"1";"1";"111.00";"1"
"org.apache.tika.parser.EmptyParser";"8";"1";"2";"213.00";"1"
